Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:50.432999;IP;localhost;domain ; localhost;42883;;;;;;497;3/0/1;CNAME;global.prd.cdn.globalsign.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.497959;IP;localhost;53610; localhost;domain;;;;;;12171;[1au];A?;ocsp.sca1b.amazontrust.com.;-55;1;;;;;;;;;;;;;;;;;;;
19:19:50.498468;IP;localhost;53610; localhost;domain;;;;;;32662;[1au];AAAA?;ocsp.sca1b.amazontrust.com.;-55;1;;;;;;;;;;;;;;;;;;;
19:19:50.522063;IP;localhost;domain ; localhost;53610;;;;;;12171;4/0/1;A;143.204.226.115,;A;1;;;;;-119;;;;;;;;;;;;;;
19:19:50.524241;IP;localhost;domain ; localhost;53610;;;;;;32662;0/0/1;-55;;;1;;;;;;;;;;;;;;;;;;;
19:19:50.618923;IP;localhost;55745; localhost;domain;;;;;;14164;[1au];A?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:50.619579;IP;localhost;55745; localhost;domain;;;;;;18271;[1au];AAAA?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:50.623598;IP;localhost;45943; localhost;domain;;;;;;28542;[1au];A?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:19:50.624354;IP;localhost;45943; localhost;domain;;;;;;39816;[1au];AAAA?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:19:50.624615;IP;localhost;domain ; localhost;45943;;;;;;39816;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.640169;IP;localhost;domain ; localhost;55745;;;;;;14164;2/0/1;CNAME;f2.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:50.642290;IP;localhost;domain ; localhost;55745;;;;;;18271;1/0/1;CNAME;f2.taboola.map.fastly.net.;-83;1;;;;;;;;;;;;;;;;;;;
19:19:50.648331;IP;localhost;domain ; localhost;45943;;;;;;28542;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.655991;IP;localhost;46116; localhost;domain;;;;;;39730;[1au];A?;acdn.adnxs.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:50.656484;IP;localhost;46116; localhost;domain;;;;;;29503;[1au];AAAA?;acdn.adnxs.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:50.678652;IP;localhost;domain ; localhost;46116;;;;;;39730;2/0/1;CNAME;prod.appnexus.map.fastly.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:50.705599;IP;localhost;domain ; localhost;46116;;;;;;29503;1/0/1;CNAME;prod.appnexus.map.fastly.net.;-85;1;;;;;;;;;;;;;;;;;;;
19:19:50.709182;IP;localhost;46382; localhost;domain;;;;;;51195;[1au];A?;ocsp.godaddy.com.;-45;1;;;;;;;;;;;;;;;;;;;
