Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:54:55.549640;IP;localhost;48324; localhost;domain;;;;;;35000;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.549849;IP;localhost;domain ; localhost;48324;;;;;;35000;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.555042;IP;localhost;55981; localhost;domain;;;;;;61642;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.555484;IP;localhost;domain ; localhost;55981;;;;;;61642;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.555528;IP;localhost;55981; localhost;domain;;;;;;213;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.555743;IP;localhost;domain ; localhost;55981;;;;;;213;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.588514;IP;localhost;59793; localhost;domain;;;;;;16106;[1au];A?;outlook-1.cdn.office.net.;-53;1
19:54:55.588948;IP;localhost;domain ; localhost;59793;;;;;;16106;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.588988;IP;localhost;59793; localhost;domain;;;;;;38644;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
19:54:55.589199;IP;localhost;domain ; localhost;59793;;;;;;38644;5/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
19:54:55.618269;IP;localhost;37021; localhost;domain;;;;;;16760;[1au];A?;outlook.live.com.;-45;1
19:54:55.618713;IP;localhost;domain ; localhost;37021;;;;;;16760;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.618758;IP;localhost;37021; localhost;domain;;;;;;49537;[1au];AAAA?;outlook.live.com.;-45;1
19:54:55.619176;IP;localhost;domain ; localhost;37021;;;;;;49537;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:55.788357;IP;localhost;44097; localhost;domain;;;;;;4680;[1au];A?;outlook.live.com.;-45;1
19:54:55.788735;IP;localhost;domain ; localhost;44097;;;;;;4680;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
