Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
19:48:49.702548;IP;localhost;41067; localhost;domain;;;;;;39141;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:49.702751;IP;localhost;domain ; localhost;41067;;;;;;39141;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.725826;IP;localhost;42796; localhost;domain;;;;;;45255;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:49.726144;IP;localhost;domain ; localhost;42796;;;;;;45255;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:49.726179;IP;localhost;42796; localhost;domain;;;;;;13525;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:49.726454;IP;localhost;domain ; localhost;42796;;;;;;13525;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:50.450483;IP;localhost;57911; localhost;domain;;;;;;13145;[1au];A?;acdn.adnxs.com.;-43;1;;;;;;;;;;;;;;
19:48:50.450819;IP;localhost;domain ; localhost;57911;;;;;;13145;2/0/1;CNAME;prod.appnexus.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:50.453366;IP;localhost;40421; localhost;domain;;;;;;21334;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:50.453570;IP;localhost;domain ; localhost;40421;;;;;;21334;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:50.453603;IP;localhost;40421; localhost;domain;;;;;;11104;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:50.479354;IP;localhost;domain ; localhost;40421;;;;;;11104;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:50.553762;IP;localhost;41662; localhost;domain;;;;;;58459;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:50.553967;IP;localhost;domain ; localhost;41662;;;;;;58459;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:50.554000;IP;localhost;41662; localhost;domain;;;;;;56427;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:50.575527;IP;localhost;domain ; localhost;41662;;;;;;56427;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:50.622664;IP;localhost;39552; localhost;domain;;;;;;14449;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:50.623411;IP;localhost;39552; localhost;domain;;;;;;13436;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:50.623634;IP;localhost;domain ; localhost;39552;;;;;;13436;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:50.644790;IP;localhost;domain ; localhost;39552;;;;;;14449;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:50.801155;IP;localhost;49595; localhost;domain;;;;;;22591;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:50.801474;IP;localhost;domain ; localhost;49595;;;;;;22591;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:50.801509;IP;localhost;49595; localhost;domain;;;;;;24650;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:50.801702;IP;localhost;domain ; localhost;49595;;;;;;24650;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:52.730907;IP;localhost;55463; localhost;domain;;;;;;57222;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:52.731232;IP;localhost;domain ; localhost;55463;;;;;;57222;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:52.731395;IP;localhost;55463; localhost;domain;;;;;;33681;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:52.731712;IP;localhost;domain ; localhost;55463;;;;;;33681;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:52.864135;IP;localhost;47180; localhost;domain;;;;;;30467;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
