Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;
20:01:24.262423;IP;localhost;59991; localhost;domain;;;;;;50910;[1au];AAAA?;sc.tynt.com.;-40;1;;;;;;;;;;;;;;;;;
20:01:24.262649;IP;localhost;domain ; localhost;59991;;;;;;50910;1/0/1;CNAME;sc.tynt.com.cdn.cloudflare.net.;-84;1;;;;;;;;;;;;;;;;;
20:01:24.283717;IP;localhost;domain ; localhost;59991;;;;;;65235;3/0/1;CNAME;sc.tynt.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.347879;IP;localhost;55022; localhost;domain;;;;;;49682;[1au];A?;simage4.pubmatic.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.348228;IP;localhost;domain ; localhost;55022;;;;;;49682;3/0/1;CNAME;spug22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.348270;IP;localhost;55022; localhost;domain;;;;;;40476;[1au];AAAA?;simage4.pubmatic.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.369863;IP;localhost;domain ; localhost;55022;;;;;;40476;2/0/1;CNAME;spug22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.390690;IP;localhost;60427; localhost;domain;;;;;;24664;[1au];A?;cdn-sic.33across.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.391028;IP;localhost;domain ; localhost;60427;;;;;;24664;3/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.391285;IP;localhost;60427; localhost;domain;;;;;;33894;[1au];AAAA?;cdn-sic.33across.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:24.414665;IP;localhost;domain ; localhost;60427;;;;;;33894;1/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.;-102;1;;;;;;;;;;;;;;;;;
20:01:24.575627;IP;localhost;46185; localhost;domain;;;;;;53134;[1au];A?;mathid.mathtag.com.;-47;1;;;;;;;;;;;;;;;;;
20:01:24.576141;IP;localhost;46185; localhost;domain;;;;;;922;[1au];AAAA?;mathid.mathtag.com.;-47;1;;;;;;;;;;;;;;;;;
20:01:24.597681;IP;localhost;domain ; localhost;46185;;;;;;53134;5/0/1;CNAME;mathid-origin.mathtag.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.599467;IP;localhost;domain ; localhost;46185;;;;;;922;1/0/1;CNAME;mathid-origin.mathtag.com.;-75;1;;;;;;;;;;;;;;;;;
20:01:25.199242;IP;localhost;38522; localhost;domain;;;;;;39934;[1au];A?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:25.199510;IP;localhost;domain ; localhost;38522;;;;;;39934;1/0/1;A;18.196.104.43;-58;1;;;;;;;;;;;;;;;;;
20:01:25.199554;IP;localhost;38522; localhost;domain;;;;;;7436;[1au];AAAA?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:25.199791;IP;localhost;domain ; localhost;38522;;;;;;7436;0/0/1;-42;;;1;;;;;;;;;;;;;;;;;
20:01:25.210781;IP;localhost;46630; localhost;domain;;;;;;21237;[1au];A?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:25.211156;IP;localhost;domain ; localhost;46630;;;;;;21237;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:25.211204;IP;localhost;46630; localhost;domain;;;;;;41987;[1au];AAAA?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
