Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
15:37:47.437074;IP;localhost;58734;localhost;domain;;;;;;19707;[1au];A?;trouter-weu-b.trouter.skype.com.;-60;1
15:37:47.437599;IP;localhost;58734;localhost;domain;;;;;;40966;[1au];AAAA?;trouter-weu-b.trouter.skype.com.;-60;1
15:37:47.459540;IP;localhost;domain;localhost;58734;;;;;;19707;2/0/1;CNAME;trouter-weu-b.cloudapp.net.,;A;1
15:37:47.460580;IP;localhost;domain;localhost;58734;;;;;;40966;1/0/1;CNAME;trouter-weu-b.cloudapp.net.;-100;1
15:37:47.460853;IP;localhost;38925;localhost;domain;;;;;;38960;[1au];A?;sfnam.loki.delve.office.com.;-56;1
15:37:47.461647;IP;localhost;38925;localhost;domain;;;;;;62521;[1au];AAAA?;sfnam.loki.delve.office.com.;-56;1
15:37:47.470279;IP;localhost;52382;localhost;domain;;;;;;55940;[1au];A?;sfnam.loki.delve.office.com.;-56;1
15:37:47.484062;IP;localhost;domain;localhost;52382;;;;;;55940;3/0/1;CNAME;fast-prod-atm-sfnam.trafficmanager.net.,;CNAME;1
15:37:47.484215;IP;localhost;domain;localhost;38925;;;;;;38960;3/0/1;CNAME;fast-prod-atm-sfnam.trafficmanager.net.,;CNAME;1
15:37:47.517178;IP;localhost;domain;localhost;38925;;;;;;62521;2/0/1;CNAME;fast-prod-atm-sfnam.trafficmanager.net.,;CNAME;1
15:37:47.626653;IP;localhost;57069;localhost;domain;;;;;;13147;[1au];A?;trouter-weu-b.trouter.skype.com.;-60;1
15:37:47.626959;IP;localhost;domain;localhost;57069;;;;;;13147;2/0/1;CNAME;trouter-weu-b.cloudapp.net.,;A;1
15:37:47.627657;IP;localhost;57069;localhost;domain;;;;;;62310;[1au];AAAA?;trouter-weu-b.trouter.skype.com.;-60;1
15:37:47.627882;IP;localhost;domain;localhost;57069;;;;;;62310;1/0/1;CNAME;trouter-weu-b.cloudapp.net.;-100;1
15:37:47.632371;IP;localhost;58617;localhost;domain;;;;;;33728;[1au];A?;trouter-weu-b.trouter.skype.com.;-60;1
15:37:47.632631;IP;localhost;domain;localhost;58617;;;;;;33728;2/0/1;CNAME;trouter-weu-b.cloudapp.net.,;A;1
15:37:48.014406;IP;localhost;60973;localhost;domain;;;;;;1534;[1au];A?;prod.registrar.skype.com.;-53;1
15:37:48.017357;IP;localhost;60973;localhost;domain;;;;;;2313;[1au];AAAA?;prod.registrar.skype.com.;-53;1
15:37:48.035592;IP;localhost;domain;localhost;60973;;;;;;1534;2/0/1;CNAME;production.skype-registar.akadns.net.,;A;1
15:37:48.041548;IP;localhost;domain;localhost;60973;;;;;;2313;1/0/1;CNAME;production.skype-registar.akadns.net.;-103;1
15:37:49.345654;IP;localhost;33818;localhost;domain;;;;;;64659;[1au];A?;outlook.live.com.;-45;1
15:37:49.346914;IP;localhost;33818;localhost;domain;;;;;;39069;[1au];AAAA?;outlook.live.com.;-45;1
15:37:49.371321;IP;localhost;domain;localhost;33818;;;;;;39069;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:37:49.374693;IP;localhost;domain;localhost;33818;;;;;;64659;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:37:49.538069;IP;localhost;39490;localhost;domain;;;;;;62751;[1au];A?;outlook.live.com.;-45;1
15:37:49.540449;IP;localhost;39490;localhost;domain;;;;;;55593;[1au];AAAA?;outlook.live.com.;-45;1
15:37:49.561245;IP;localhost;domain;localhost;39490;;;;;;62751;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:37:49.572229;IP;localhost;domain;localhost;39490;;;;;;55593;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:37:52.186519;IP;localhost;44914;localhost;domain;;;;;;17172;[1au];A?;azcus1-client-s.gateway.messenger.live.com.;-71;1
