Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;45853;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;10518;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;10518;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;46109;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;46109;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;46365;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;46365;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;10774;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;10774;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;46621;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;46621;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;11030;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;11030;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;61476;46877;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;61476;46877;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo request;6693;11286;8;;;;;;0;;;;;;;;;;;;;;
18:36:22;IP;localhost;;localhost;;ICMP;echo reply;6693;11286;8;;;;;;0;;;;;;;;;;;;;;
